Code,Description
85021200,"generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 75 kva but <= 375 kva ..."
850213,"generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 375 kva"
85021320,"generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 375 kva but <= 750 kva ..."
85021340,"generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 750 kva but <= 2.000 kva ..."
85021380,"generating sets with compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" of an output > 2.000 kva"
850220,generating sets with spark-ignition internal combustion piston engine
85022020,generating sets with spark-ignition internal combustion piston engine of an output <= 75 kva ...
85022040,generating sets with spark-ignition internal combustion piston engine of an output > 75 kva but <= 375 kva ...
85022060,generating sets with spark-ignition internal combustion piston engine of an output > 375 kva but <= 750 kva ...
85022080,generating sets with spark-ignition internal combustion piston engine of an output > 750 kva
85023100,generating sets wind-powered
850239,generating sets (excl. wind-powered and powered by spark-ignition internal combustion piston engine)
85023920,turbogenerators
85023980,generating sets non-wind-powered and non-powered by spark-ignition internal combustion piston engine (excl. turbogenerators)
85024000,electric rotary converters
850300,parts suitable for use solely or principally with electric motors and generators electric generating sets and rotary converters n.e.s.
85030010,non-magnetic retaining rings for electric motors and electric generating sets
85030091,parts suitable for use solely or principally with electric motors and generators electric generating sets and rotary converters n.e.s. of cast iron or cast steel
85030099,parts suitable for use solely or principally with electric motors and generators electric generating sets and rotary converters n.e.s. (excl. non-magnetic retaining rings and of cast iron or cast steel)
850410,ballasts for discharge lamps or tubes
85041020,inductors whether or not connected with a capacitor
85041080,ballasts for discharge lamps or tubes (excl. inductors whether or not connected with a capacitor)
85042100,liquid dielectric transformers having a power handling capacity <= 650 kva ...
850422,liquid dielectric transformers having a power handling capacity > 650 kva but <= 10.000 kva ...
85042210,liquid dielectric transformers having a power handling capacity > 650 kva but <= 1.600 kva ...
85042290,liquid dielectric transformers having a power handling capacity > 1.600 kva but <= 10.000 kva ...
85042300,liquid dielectric transformers having a power handling capacity > 10.000 kva
850431,transformers having a power handling capacity <= 1 kva (excl. liquid dielectric transformers) ...
85043121,measuring transformers for voltage measurement having a power handling capacity <= 1 kva ...
85043129,measuring transformers having a power handling capacity <= 1 kva (other than for voltage measurement) ...
85043180,transformers having a power handling capacity <= 1 kva (excl. liquid dielectric transformers) ...
85043200,transformers having a power handling capacity > 1 kva but <= 16 kva (excl. liquid dielectric transformers) ...
85043300,transformers having a power handling capacity > 16 kva but <= 500 kva (excl. liquid dielectric transformers) ...
85043400,transformers having a power handling capacity > 500 kva (excl. liquid dielectric transformers)
850440,static converters
85044030,static converters of a kind used with telecommunication apparatus automatic data-processing machines and units thereof
85044055,accumulator chargers (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof and polycrystalline semiconductor rectifiers)
85044082,rectifiers (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof)
85044084,inverters having power handling capacity <= 75 kva (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof) ...
85044088,inverters having power handling capacity > 75 kva (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof)
85044090,static converters (excl. of a kind used with telecommunication apparatus automatic data-processing machines and units thereof battery chargers polycrystalline semiconductor and other rectifiers and a.c. converters)
85045000,inductors (excl. inductors for discharge lamps or tubes)
850490,parts of electrical transformers and inductors n.e.s.
85049011,ferrite cores for transformers and inductors
85049013,steel laminations and cores whether or not stacked or wound for transformers and inductors
85049017,parts of transformers and inductors n.e.s. (excl. ferrite cores and steel laminations and cores)
85049090,parts of static converters n.e.s.
85051100,permanent magnets of metal and articles intended to become permanent magnets after magnetization (excl. chucks clamps and similar holding devices)
850519,permanent magnets and articles intended to become permanent magnets after magnetization of materials other than metal
85051910,permanent magnets of agglomerated ferrite
85051990,permanent magnets and articles intended to become permanent magnets after magnetization of materials other than metal or agglomerated ferrite
85052000,electromagnetic couplings clutches and brakes
850590,electromagnets and electromagnetic lifting heads and their parts (excl. magnets for medical use); electromagnetic or permanent magnet chucks clamps and similar holding devices and their parts n.e.s.
85059021,electromagnets of a kind used solely or principally for magnetic resonance imaging apparatus other than electromagnets of heading 9018
85059029,electromagnets; electromagnetic or permanent magnet chucks clamps and similar holding devices (excl. electromagnets used for magnetic resonance imaging apparatus)
85059050,electromagnetic lifting heads
85059090,parts of permanent magnets electromagnets electromagnetic clutches couplings brakes and lifting heads electromagnetic or permanent magnet holding devices n.e.s.
850610,manganese dioxide cells and batteries (excl. spent)
85061011,manganese dioxide cells and batteries alkaline in the form of cylindrical cells (excl. spent)
85061018,manganese dioxide cells and batteries alkaline (excl. spent and cylindrical cells)
85061091,manganese dioxide cells and batteries non-alkaline in the form of cylindrical cells (excl. spent)
85061098,manganese dioxide cells and batteries non-alkaline (excl. spent and cylindrical cells)
85063000,mercuric oxide cells and batteries (excl. spent)
85064000,silver oxide cells and batteries (excl. spent)
850650,lithium cells and batteries (excl. spent)
85065010,lithium cells and batteries in the form of cylindrical cells (excl. spent)
85065030,lithium cells and batteries in the form of button cells (excl. spent)
85065090,lithium cells and batteries (excl. spent and in the form of cylindrical or button cells)
85066000,air-zinc cells and batteries (excl. spent)
850680,primary cells and primary batteries electric (excl. spent and those of silver oxide mercuric oxide manganese dioxide lithium and air-zinc)
85068005,dry zinc-carbon batteries of a voltage of >= 55 v but <= 65 v (excl. spent) ...
85068080,primary cells and primary batteries electric (excl. spent dry zinc-carbon batteries of a voltage of >= 55 v but <= 65 v and those of manganese dioxide mercuric oxide silver oxide lithium and air-zinc) ...
85069000,parts of primary cells and primary batteries n.e.s.
850710,"lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)"
85071020,lead-acid accumulators of a kind used for starting piston engines (starter batteries) working with liquid electrolyte (excl. spent)
85071080,lead-acid accumulators of a kind used for starting piston engines (starter batteries) working with non-liquid electrolyte (excl. spent)
850720,lead acid accumulators (excl. spent and starter batteries)
85072020,lead-acid accumulators working with liquid electrolyte (excl. spent and starter batteries)
85072080,lead-acid accumulators working with non-liquid electrolyte (excl. spent and starter batteries)
850730,nickel-cadmium accumulators (excl. spent)
85073020,hermetically sealed nickel-cadmium accumulators (excl. spent)
85073080,nickel-cadmium accumulators not hermetically sealed (excl. spent)
85074000,nickel-iron accumulators (excl. spent)
85075000,nickel-metal hydride accumulators (excl. spent)
85076000,lithium-ion accumulators (excl. spent)
85078000,electric accumulators (excl. spent and lead-acid nickel-cadmium nickel-iron nickel-metal hydride and lithium-ion accumulators)
850790,plates separators and other parts of electric accumulators n.e.s.
85079030,separators for electric accumulators (excl. separators of vulcanised rubber other than hard rubber or of textiles)
85079080,parts of electric accumulators (excl. separators)
85081100,vacuum cleaners incl. dry cleaners and wet vacuum cleaners with self-contained electric motor power <= 1 500 w and having a dust bag or other receptacle capacity <= 20 l ...
85081900,vacuum cleaners incl. dry cleaners and wet vacuum cleaners with self-contained electric motor ( excl. of a power <= 1 500 w and having a dust bag or other receptacle capacity <= 20 l) ...
85086000,vacuum cleaners incl. dry cleaners and wet vacuum cleaners (excl. with self-contained electric motor)
85087000,parts of vacuum cleaners dry cleaners and wet vacuum cleaners n.e.s.
85094000,domestic food grinders and mixers and fruit or vegetable juice extractors with self-contained electric motor
85098000,electromechanical domestic appliances with self-contained electric motor (excl. vacuum cleaners dry and wet vacuum cleaners food grinders and mixers fruit or vegetable juice extractors and hair-removing appliances)
85099000,parts of electromechanical domestic appliances with self-contained electric motor n.e.s. (excl. of vacuum cleaners dry and wet vacuum cleaners)
85101000,shavers electric
85102000,hair clippers with self-contained electric motor
85103000,hair-removing appliances with self-contained electric motor
85109000,parts of electric shavers hair clippers and hair-removing appliances with self-contained electric motor n.e.s.
85111000,sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion engines
85112000,ignition magnetos magneto-dynamos and magnetic flywheels for spark-ignition or compression-ignition internal combustion engines
85113000,distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal combustion engines
85114000,starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition internal combustion engines
85115000,generators of a kind used for internal combustion engines (excl. magneto dynamos and dual purpose starter-generators)
85118000,electrical ignition or starting equipment incl. cut-outs of a kind used for spark-ignition or compression-ignition internal combustion engines (excl. generators starter motors distributors ignition coils ignition magnetos magnetic flywheels and sparking plugs)
85119000,parts of electrical ignition or starting equipment generators etc. of heading 8511 n.e.s.
85121000,electric lighting or visual signalling equipment of a kind used for bicycles (other than lamps of heading 8539)
85122000,electrical lighting or visual signalling equipment for motor vehicles (excl. lamps of heading 8539)
851230,electrical sound signalling equipment for cycles or motor vehicles
85123010,sound signalling burglar alarms electrical of a kind used for motor vehicles
85123090,electrical sound signalling equipment for cycles or motor vehicles (excl. burglar alarms for motor vehicles)
85124000,electrical windscreen wipers defrosters and demisters for motor vehicles
851290,parts of electrical lighting or signalling equipment windscreen wipers defrosters and demisters of a kind used for cycles and motor vehicles n.e.s.
85129010,parts of electrical burglar alarms of a kind used for motor vehicles n.e.s.
85129090,parts of electrical lighting or signalling equipment windscreen wipers defrosters and demisters of a kind used for motor vehicles n.e.s. (excl. of burglar alarms for motor vehicles)
85131000,portable electrical lamps designed to function by their own source of energy
85139000,parts of portable electrical lamps designed to function by their own source of energy n.e.s.
851410,resistance heated industrial or laboratory furnaces and ovens (excl. drying ovens)
85141010,resistance heated bakery and biscuit ovens
85141080,industrial and laboratory furnaces and ovens resistance heated (other than for the manufacture of semiconductor devices on semiconductor wafers)
851420,furnaces and ovens functioning by induction or dielectric loss
85142010,furnaces and ovens functioning by induction
85142080,furnaces and ovens functioning by dielectric loss (other than for the manufacture of semiconductor devices on semiconductor wafers)
851430,electric industrial or laboratory furnaces and ovens (excl. resistance heated induction dielectric and drying furnaces and ovens)
85143020,furnaces and ovens of a kind used solely or principally for the manufacture of printed circuits or printed circuit assemblies
85143080,electric industrial or laboratory furnaces and ovens (excl. resistance heated induction dielectric and drying furnaces and ovens and ones used for manufacturing printed circuits)
85144000,equipment for the heat treatment of materials by induction or dielectric loss (excl. ovens and furnaces)
851490,parts of electric industrial or laboratory furnaces and ovens incl. of those functioning by induction or dielectric loss and of industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss n.e.s. (other than for the manufacture of semiconductor devices on semiconductor wafers)
85149030,parts of furnaces and ovens of 85143020 used in manufacturing printed circuits
85149070,parts of electric industrial or laboratory furnaces and ovens incl. of those functioning by induction or dielectric loss and of industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss n.e.s.
85151100,soldering irons and guns electric
851519,brazing or soldering machines (excl. soldering irons and guns)
85151910,wave soldering machines of a kind used solely or principally for the manufacture of printed circuit assemblies
85151990,brazing or soldering machines (excl. soldering irons and guns and wave soldering machines used in manufacturing printed circuit assemblies)
85152100,fully or partly automatic machines for resistance welding of metals
85152900,machines for resistance welding of metals neither fully nor partly automatic
85153100,fully or partly automatic machines for arc welding of metals incl. plasma arc welding
851539,machines for arc welding of metals incl. plasma arc welding neither fully nor partly automatic
85153913,machines for manual arc welding of metals with coated electrodes complete with welding or cutting devices and consigned with transformers
85153918,machines and apparatus for manual arc welding of metals with coated electrodes complete with welding or cutting devices generators or rotary converters static converters rectifiers or rectifying apparatus
85153990,machines for arc welding of metals incl. plasma arc welding neither fully nor partly automatic (excl. machines for manual welding with coated electrodes)
851580,electric machines and apparatus for laser or other light or photon beam ultrasonic electron beam magnetic pulse or plasma arc welding; electric machines and apparatus for hot spraying of metals metal carbides or cermets (excl. metal spray guns specified elsewhere)
85158010,electrical machines and apparatus for welding or hot spraying of metals (excl. for resistance arc or plasma arc welding and metal spray guns specified elsewhere)
85158090,electrical machines and apparatus for welding thermoplastic materials (excl. wire bonders of a kind used for the manufacture of semiconductor devices)
851590,parts of machines and apparatus for soldering or welding or for hot spraying of metals metal carbides or cermets n.e.s. (excl. wire bonders of a kind used for the manufacture of semiconductor devices)
85159020,parts of wave soldering machines used in manufacturing printed circuit assemblies
85159080,parts of machines and apparatus for soldering or welding or for hot spraying of metals metal carbides or cermets n.e.s.
851610,electric instantaneous or storage water heaters and immersion heaters
85161011,electric instantaneous water heaters
85161080,electric water heaters and immersion heaters (excl. instantaneous water heaters)
85162100,electric storage heating radiators for space-heating
851629,electric space-heating and soil-heating apparatus (excl. storage heating radiators)
85162910,liquid filled electric radiators for space-heating and soil-heating
85162950,electric convection heaters for space-heating and soil-heating
85162991,electric space-heating and soil-heating apparatus with built-in fan (excl. storage heating radiators)
85162999,electric space-heating and soil-heating apparatus without built-in fan (excl. convection heaters and liquid-filled radiators)
85163100,electric hairdryers
85163200,electro-thermic hairdressing apparatus (excl. hairdryers)
85163300,electric hand-drying apparatus
85164000,electric smoothing irons
85165000,microwave ovens
851660,electric ovens cookers cooking plates and boiling rings electric grillers and roasters for domestic use (excl. space-heating stoves and microwave ovens)
851679,electro-thermic appliances for domestic use (excl. hairdressing appliances and hand dryers space-heating and soil-heating apparatus water heaters immersion heaters smoothing irons microwave ovens ovens cookers cooking plates boiling rings grillers roasters coffee makers tea makers and toasters)
851680,electric heating resistors (excl. those of agglomerated coal and graphite)
851769,apparatus for the transmission or reception of voice images or other data incl. apparatus for communication in a wired or wireless network [such as a local or wide area network] (excl. telephone sets telephones for cellular networks or for other wireless networks base stations apparatus for the reception conversion and transmission or regeneration of voice images or other data and transmission or reception apparatus of heading 8443 8525 8527 or 8528)
851920,sound recording or sound reproducing apparatus operated by coins banknotes bank cards tokens or by other means of payment [juke boxes]
852110,magnetic tape-type video recording or reproducing apparatus whether or not incorporating a video tuner (excl. video camera recorders)
852329,magnetic media for the recording of sound or of other phenomena (excl. cards incorporating a magnetic stripe and goods of chapter 37)
852341,optical media for the recording of sound or of other phenomena unrecorded (excl. goods of chapter 37)
852349,optical media for the recording of sound or of other phenomena (excl. unrecorded and goods of chapter 37)
852351,solid-state non-volatile data storage devices for recording data from an external source [flash memory cards or flash electronic storage cards] (excl. goods of chapter 37)
852359,semiconductor media unrecorded for the recording of sound or of other phenomena (excl. solid-state non-volatile data storage devices smart cards and goods of chapter 37)
852380,media for the recording of sound or of other phenomena whether or not recorded incl. matrices and masters for the production of discs (excl. magnetic optical and semiconductor media and products of chapter 37)
852580,television cameras digital cameras and video camera recorders
852691,radio navigational aid apparatus
852721,radio-broadcast receivers not capable of operating without an external source of power of a kind used in motor vehicles combined with sound recording or reproducing apparatus
852852,monitors capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471 (excl. crt with tv receiver)
852869,projectors (excl. with tv receiver designed for computer use)
852871,reception apparatus for television whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus not designed to incorporate a video display or screen
852872,reception apparatus for television colour whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus designed to incorporate a video display or screen
852910,aerials and aerial reflectors of all kinds; parts suitable for use therewith n.e.s.
852990,parts suitable for use solely or principally with transmission and reception apparatus for radio-broadcasting or television television camerasdigital cameras video camera recorders radar apparatus radio navigational aid apparatus or radio remote control apparatus monitors and projectors n.e.s. (excl. for aerials and aerial reflectors of all kinds)
853110,burglar or fire alarms and similar apparatus
853120,"indicator panels with liquid crystal devices ""lcd"" or light emitting diodes ""led"" (excl. those for cycles motor vehicles and traffic signalling)"
853180,electric sound or visual signalling apparatus (excl. indicator panels with liquid crystal devices or light emitting diodes burglar or fire alarms and similar apparatus and apparatus for cycles motor vehicles and traffic signalling)
853340,electrical variable resistors incl. rheostats and potentiometers (excl. wirewound variable resistors and heating resistors)
853400,printed circuits
853530,isolating switches and make-and-break switches for a voltage > 1.000 v
853610,fuses for a voltage <= 1.000 v ...
853620,automatic circuit breakers for a voltage <= 1.000 v ...
853630,apparatus for protecting electrical circuits for a voltage <= 1.000 v (excl. fuses and automatic circuit breakers) ...
853641,relays for a voltage <= 60 v ...
853650,switches for a voltage <= 1.000 v (excl. relays and automatic circuit breakers) ...
853661,lamp holders for a voltage <= 1.000 v ...
853669,plugs and sockets for a voltage <= 1.000 v (excl. lamp holders) ...
853690,electrical apparatus for switching electrical circuits or for making connections to or in electrical circuits for a voltage <= 1.000 v (excl. fuses automatic circuit breakers and other apparatus for protecting electrical circuits relays and other switches lamp holders plugs and sockets) ...
853710,boards cabinets and similar combinations of apparatus for electric control or the distribution of electricity for a voltage <= 1.000 v ...
853720,boards cabinets and similar combinations of apparatus for electric control or the distribution of electricity for a voltage > 1.000 v
853890,parts suitable for use solely or principally with the apparatus of heading 8535 8536 or 8537 n.e.s. (excl. boards panels consoles desks cabinets and other bases for the goods of heading 8537 not equipped with their apparatus)
853921,tungsten halogen filament lamps (excl. sealed beam lamp units)
853922,filament lamps of a power <= 200 w and for a voltage > 100 v (excl. tungsten halogen filament lamps and ultraviolet or infra-red lamps)
853929,filament lamps electric (excl. tungsten halogen lamps lamps of a power <= 200 w and for a voltage > 100 v and ultraiolet or infra-red lamps)
853931,discharge lamps fluorescent hot cathode
853932,mercury or sodium vapour lamps; metal halide lamps
853939,discharge lamps (excl. hot-cathode fluorescent lamps mercury or sodium vapour lamps metal halide lamps and ultraviolet lamps)
853990,parts of electric filament or discharge lamps sealed beam lamp units ultraviolet or infra-red lamps arc lamps and led lamps n.e.s.
854020,television camera tubes; image converters and intensifiers; other photo cathode tubes (excl. cathode ray television picture tubes incl. video monitor cathode ray tubes)
854140,photosensitive semiconductor devices incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)
854231,electronic integrated circuits as processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits
854232,electronic integrated circuits as memories
854233,electronic integrated circuits as amplifiers
854239,electronic integrated circuits (excl. such as processors controllers memories and amplifiers)
854330,machines and apparatus for electroplating electrolysis or electrophoresis
854370,electrical machines and apparatus having individual functions n.e.s. in chapter 85
854411,winding wire for electrical purposes of copper insulated
854442,electric conductors for a voltage <= 1.000 v insulated fitted with connectors n.e.s. ...
854449,electric conductors for a voltage <= 1.000 v insulated not fitted with connectors n.e.s. ...
854460,electric conductors for a voltage > 1.000 v insulated n.e.s.
854590,articles of graphite or other carbon for electrical purposes (excl. electrodes and carbon brushes)
854690,electrical insulators (excl. those of glass or ceramics and insulating fittings)
854810,waste and scrap of primary cells primary batteries and electric accumulators; spent primary cells spent primary batteries and spent electric accumulators
854890,electrical parts of machinery or apparatus not specified or included elsewhere in chapter 85
